index,english,garo,category,notes,verification_tag,flags
110,speak,Agana,,,none,DUPLICATE_KEY
111,listen,Knachik·bo,,,none,DUPLICATE_KEY
112,see / look / watch,Nia,,,none,DUPLICATE_KEY
113,give,On·a,,,none,DUPLICATE_KEY
114,take,Ra·a,,,none,DUPLICATE_KEY
115,work,Dak·a,,,none,DUPLICATE_KEY
116,play,Kal·a,,,none,DUPLICATE_KEY
117,sit,Asong·a,,,none,DUPLICATE_KEY
118,stand,Chadenga,,,none,DUPLICATE_KEY
119,laugh,Ka·ding·a,,,none,DUPLICATE_KEY
120,cry,Grap·a,,,none,DUPLICATE_KEY
121,buy,Brea,,,none,DUPLICATE_KEY
122,sell,Pala,,,none,DUPLICATE_KEY
123,come,Re·ba·a,,,none,DUPLICATE_KEY
124,go,Re·ang·a,,,none,DUPLICATE_KEY
125,father,Pa / Apa,,,none,DUPLICATE_KEY
126,mother,Ma / Ama,,,none,DUPLICATE_KEY
127,son,Depante,,,none,DUPLICATE_KEY
128,daughter,Demechik,,,none,DUPLICATE_KEY
129,Grandfather,Abi·tang,,,none,DUPLICATE_KEY
130,grandmother,Ambichang,,,none,DUPLICATE_KEY
131,elder brother,Ada,,,none,DUPLICATE_KEY
132,elder sister,Abi,,,none,DUPLICATE_KEY
133,younger sibling,Jong / No,,,none,DUPLICATE_KEY
134,uncle,Mama / Pabok,,,none,DUPLICATE_KEY
135,aunt,Mani,,,none,DUPLICATE_KEY
136,friend,Ripeng,,,none,DUPLICATE_KEY
137,head,Sko,,,none,DUPLICATE_KEY
138,eye,Mikron,,,none,DUPLICATE_KEY
139,ear,Nachil,,,none,DUPLICATE_KEY
140,nose,Gingting,,,none,DUPLICATE_KEY
141,mouth,Ku·sik,,,none,DUPLICATE_KEY
142,hand,Jak,,,none,DUPLICATE_KEY
143,leg,Ja·a,,,none,DUPLICATE_KEY
144,hair,Kni,,,none,DUPLICATE_KEY
145,stomach,Ok,,,none,DUPLICATE_KEY
146,teeth,Wagam,,,none,DUPLICATE_KEY
147,tongue,Sre,,,none,DUPLICATE_KEY
148,skin,Bigil,,,none,DUPLICATE_KEY
149,heart,Ka·tong,,,none,DUPLICATE_KEY
150,red,Gitchak,,,none,DUPLICATE_KEY
151,white,Gipok,,,none,DUPLICATE_KEY
152,black,Gisim,,,none,DUPLICATE_KEY
153,green,Tangsek,,,none,DUPLICATE_KEY
154,blue,Tang·sim,,,none,DUPLICATE_KEY
155,yellow,Rimit,,,none,DUPLICATE_KEY
156,One,Sa,,,none,DUPLICATE_KEY
157,Two,Gni,,,none,DUPLICATE_KEY
158,Three,Gittam,,,none,DUPLICATE_KEY
159,Four,Bri,,,none,DUPLICATE_KEY
160,Five,Bonga,,,none,DUPLICATE_KEY
161,Six,Dok,,,none,DUPLICATE_KEY
162,Seven,Sni,,,none,DUPLICATE_KEY
163,Eight,Chet,,,none,DUPLICATE_KEY
164,Nine,Sku,,,none,DUPLICATE_KEY
165,Ten,Chiking,,,none,DUPLICATE_KEY
166,Eleven,Chi·sa,,,none,DUPLICATE_KEY
167,Twelve,Chi·gni,,,none,DUPLICATE_KEY
168,Thirteen,Chi·gittam,,,none,DUPLICATE_KEY
169,Fourteen,Chi·bri,,,none,DUPLICATE_KEY
170,Fifteen,Chi·bonga,,,none,DUPLICATE_KEY
171,Sixteen,Chi·dok,,,none,DUPLICATE_KEY
172,Seventeen,Chi·sni,,,none,DUPLICATE_KEY
173,Eighteen,Chi·chet,,,none,DUPLICATE_KEY
174,Nineteen,Chi·sku,,,none,DUPLICATE_KEY
175,Twenty,Kolgrik,,,none,DUPLICATE_KEY
176,Twenty-one,Kolgrik·sa,,,none,DUPLICATE_KEY
177,Thirty,Kolatchi,,,none,DUPLICATE_KEY
178,Forty,Sotbri,,,none,DUPLICATE_KEY
179,Fifty,Sotbonga,,,none,DUPLICATE_KEY
180,Sixty,Sotdok,,,none,DUPLICATE_KEY
181,Seventy,Sotsni,,,none,DUPLICATE_KEY
182,Eighty,Sotchet,,,none,DUPLICATE_KEY
183,Ninety,Sotsku,,,none,DUPLICATE_KEY
184,Hundred,Ritchasa,,,none,DUPLICATE_KEY
185,One Thousand,Hajalsa,,,none,DUPLICATE_KEY
186,First (ordinal),Chipprangni,,,none,DUPLICATE_KEY
187,Second (ordinal),Gni·prangni,,,none,DUPLICATE_KEY
188,Third (ordinal),Gittam·prangni,,,none,DUPLICATE_KEY
189,Last,Baksangni,,,none,DUPLICATE_KEY
190,Half,Jatchi,,,none,DUPLICATE_KEY
191,Quarter,Daldal,,,none,DUPLICATE_KEY
192,Double,Gni·bita,,,none,DUPLICATE_KEY
193,Zero / None,Bangbang / Ong·ja,,,none,DUPLICATE_KEY
194,hello / greetings,Salam / Namengama,,,none,DUPLICATE_KEY
195,how are you?,Na·a namengama?,,,none,DUPLICATE_KEY
196,i am fine,Anga namenga.,,,none,DUPLICATE_KEY
197,thank you,Mittela.,,,none,DUPLICATE_KEY
198,what is your name?,Nang bimung maia?,,,none,DUPLICATE_KEY
199,my name is...,Angni bimungara...,,,none,DUPLICATE_KEY
200,where are you going?,Na·a bano re·angenga?,,,none,DUPLICATE_KEY
201,good morning,Pringnam.,,,none,DUPLICATE_KEY
202,good night,Walnam.,,,none,DUPLICATE_KEY
203,yes,Oe,,,none,DUPLICATE_KEY
204,no,Ong·ja,,,none,DUPLICATE_KEY
205,please,Ka·sapae.,,,none,DUPLICATE_KEY
206,i don't know,Anga uija.,,,none,DUPLICATE_KEY
207,come here,Ianona re·babo.,,,none,DUPLICATE_KEY
208,Tasty / Delicious,Toa,,,none,DUPLICATE_KEY
209,not tasty,Touja,,,none,DUPLICATE_KEY
210,sweet,Chi·a,,,none,DUPLICATE_KEY
211,sour,Mesenga,,,none,DUPLICATE_KEY
212,bitter,Ka·a,,,none,DUPLICATE_KEY
213,salty,Kari nanga,,,none,DUPLICATE_KEY
214,salt (noun),Kari,,,none,DUPLICATE_KEY
215,spicy,Jal·ik saa,,,none,DUPLICATE_KEY
216,astringent,Ka·baka,,,none,DUPLICATE_KEY
217,bland / tasteless,Chibroka,,,none,DUPLICATE_KEY
218,smelly / stinky,Senga,,,none,DUPLICATE_KEY
219,to fall (from height),Ga·aka,,,none,DUPLICATE_KEY
220,to fall (stumble/trip),Nang·ting·a,,,none,DUPLICATE_KEY
221,to fall (slip),Ga·soltap,,,none,DUPLICATE_KEY
222,to fall (collapse),Be·a,,,none,DUPLICATE_KEY
223,to drop (something),Ga·akata,,,none,DUPLICATE_KEY
224,to roll,Romroma,,,none,DUPLICATE_KEY
225,to jump,Bildoa,,,none,DUPLICATE_KEY
226,to shake,Moa,,,none,DUPLICATE_KEY
227,to move (something),De·jita,,,none,DUPLICATE_KEY
228,to feel (general),Ui·a,,,none,DUPLICATE_KEY
229,to feel (emotionally),Gisik·o nanga,,,none,DUPLICATE_KEY
230,to hurt (pain),Sa·dika,,,none,DUPLICATE_KEY
