index,english,garo,category,notes,verification_tag,flags
2312,cousin-brother,a·da,uncategorized,UNVERIFIED/HIGH v:ang-jong,VERIFIED/HIGH,DUPLICATE_KEY
2313,cousin-brother,ang·jong,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2314,cousin-sister,a·bi,uncategorized,UNVERIFIED/HIGH v:a-no,VERIFIED/HIGH,DUPLICATE_KEY
2315,cousin-sister,a·no,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2316,cover,da·kon,uncategorized,UNVERIFIED/HIGH v:-tip- / dap-a / grip-a,VERIFIED/HIGH,DUPLICATE_KEY
2317,cover,·tip·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2318,cover,dap·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2319,cover,grip·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2322,covet,mat·u·a,uncategorized,UNVERIFIED/HIGH v:mik-bok-a,VERIFIED/HIGH,DUPLICATE_KEY
2323,covet,mik·bok·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2328,cracked,be˙·chil·ak·a,uncategorized,UNVERIFIED/HIGH v:be˙-dip-a / be˙-si-ri-a,VERIFIED/HIGH,DUPLICATE_KEY
2329,cracked,be˙·dip·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2330,cracked,be˙·si·ri·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2343,cross,chi·sol,church,UNVERIFIED/HIGH v:ga˙-bat-a,VERIFIED/HIGH,DUPLICATE_KEY
2344,cross,ga˙·bat·a,church,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2347,crosswise,gip·eng·pang,uncategorized,UNVERIFIED/HIGH v:ket-chi-o,VERIFIED/HIGH,DUPLICATE_KEY
2348,crosswise,ket·chi·o,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2351,crowded,chang·ket·a,uncategorized,UNVERIFIED/HIGH v:chrap-chrap / kang-a / kang-dik-kang-si,VERIFIED/HIGH,DUPLICATE_KEY
2352,crowded,chrap·chrap,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2353,crowded,kang·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2354,crowded,kang·dik·kang·si,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2357,crush,pin·ek·a,uncategorized,UNVERIFIED/HIGH v:rim˙-pin-ek-a,VERIFIED/HIGH,DUPLICATE_KEY
2358,crush,rim˙·pin·ek·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2361,cultivate,a·bat ko·ri·a,uncategorized,UNVERIFIED/HIGH v:dang-a / hal we-a / ha˙-ba hu˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2362,cultivate,dang·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2363,cultivate,hal we·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2364,cultivate,ha˙·ba hu˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2369,curl,bam·kom·a,uncategorized,UNVERIFIED/HIGH v:geng-kon-a,VERIFIED/HIGH,DUPLICATE_KEY
2370,curl,geng·kon·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2372,curly,kong˙·krot·a,uncategorized,UNVERIFIED/HIGH v:kong˙-krot-kong˙-krot,VERIFIED/HIGH,DUPLICATE_KEY
2373,curly,kong˙·krot·kong˙·krot,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2376,curved,gong·ge·a,uncategorized,UNVERIFIED/HIGH v:kong˙-krot-a / ku˙-weng-a,VERIFIED/HIGH,DUPLICATE_KEY
2377,curved,kong˙·krot·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2378,curved,ku˙·weng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2380,cut,den˙·a,uncategorized,UNVERIFIED/HIGH v:mat-a / rat-a,VERIFIED/HIGH,DUPLICATE_KEY
2381,cut,mat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2382,cut,rat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2384,cutting,kol·om,uncategorized,UNVERIFIED/HIGH v:ta˙-sko,VERIFIED/HIGH,DUPLICATE_KEY
2385,cutting,ta˙·sko,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2392,damp,chi·jim·a,uncategorized,UNVERIFIED/HIGH v:chim˙-chim-a / dim˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2393,damp,chim˙·chim·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2394,damp,dim˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2395,dance,grik·a,uncategorized,UNVERIFIED/HIGH v:han˙-seng-a / kiir-ton / ro-a,VERIFIED/HIGH,DUPLICATE_KEY
2396,dance,han˙·seng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2397,dance,kiir·ton,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2398,dance,ro·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2407,daughter in law,bo,family,UNVERIFIED/HIGH v:nam-chik,VERIFIED/HIGH,DUPLICATE_KEY
