key,group_size,index,english,garo,category,notes
"3",2,1055,"3","soul","general",""
"3",2,3052,"3","gittam","numbers","VERIFIED/HIGH"
"one dog",2,0,"one dog","sa mang·sa","animals",""
"one dog",2,3440,"one dog","achak mang·sa","numbers","VERIFIED/HIGH"
"one person",2,3,"one person","sa mande·sa","numbers",""
"one person",2,3441,"one person","mande sak·sa","numbers","VERIFIED/HIGH"
"pineapple",2,15,"pineapple","Anaros","general",""
"pineapple",2,3477,"Pineapple","a·na·ros","food","variant/VERIFIED/HIGH"
"banana",2,16,"banana","Te·rik","general",""
"banana",2,3088,"Banana","te··rik","food","variant/VERIFIED/HIGH"
"orange",4,17,"orange","Narang","general",""
"orange",4,3446,"Orange","ko·mil·a","food","variant/VERIFIED/HIGH"
"orange",4,3447,"Orange","na·rang","food","variant/VERIFIED/HIGH"
"orange",4,6836,"orange","a·mnk","food","VERIFIED/HIGH/doc7"
"papaya",3,19,"papaya","Modu","general",""
"papaya",3,3459,"Papaya","mo·du","food","variant/VERIFIED/HIGH"
"papaya",3,3460,"Papaya","pe·pe","food","variant/VERIFIED/HIGH"
"jackfruit",2,20,"jackfruit","Te·brong","general",""
"jackfruit",2,3344,"Jackfruit","te··brong","uncategorized","variant/VERIFIED/HIGH"
"mango",2,21,"mango","Te·gachu","general",""
"mango",2,3396,"Mango","te··ga·chu","food","variant/VERIFIED/HIGH"
"coconut",2,23,"coconut","Narikel","general",""
"coconut",2,3168,"Coconut","na·ri·kel","food","variant/VERIFIED/HIGH"
"watermelon",2,24,"watermelon","Te·e raja","general",""
"watermelon",2,3704,"Watermelon","tor·mus","food","variant/VERIFIED/HIGH"
"sugar cane",2,27,"sugar cane","Ge·rit","food",""
"sugar cane",2,3634,"Sugar Cane","grit","food","variant/VERIFIED/HIGH"
"custard apple",2,30,"custard apple","Atapol","general",""
"custard apple",2,3191,"Custard Apple","a·ta·pol","uncategorized","variant/VERIFIED/HIGH"
"pomelo",2,31,"pomelo","Narang·gira","general",""
"pomelo",2,3486,"Pomelo","jam·bu·ra","uncategorized","variant/VERIFIED/HIGH"
"pumpkin",2,35,"pumpkin","Gominda","general",""
"pumpkin",2,6858,"pumpkin","ak·ka·ru","food","VERIFIED/HIGH/doc7"
"potato",2,36,"potato","Alu","general",""
"potato",2,6849,"potato","al·u","food","VERIFIED/HIGH/doc7"
"tomato",2,37,"tomato","Baring belati","general",""
"tomato",2,3684,"Tomato","to·ma·to","food","variant/VERIFIED/HIGH"
"brinjal",2,38,"brinjal","Baring","general",""
"brinjal",2,3123,"Brinjal","ba·ring","uncategorized","variant/VERIFIED/HIGH"
"garlic",3,42,"garlic","Rasin·gipok","general",""
"garlic",3,3284,"Garlic","na·sin·do·oki","food","variant/VERIFIED/HIGH"
"garlic",3,3285,"Garlic","ro·sun gip·bok","food","variant/VERIFIED/HIGH"
"ginger",2,43,"ginger","Re·ching","general",""
"ginger",2,3288,"Ginger","e··ching","food","variant/VERIFIED/HIGH"
"cucumber",2,46,"cucumber","Te·e","general",""
"cucumber",2,3187,"Cucumber","so·sra","uncategorized","variant/VERIFIED/HIGH"
"sweet potato",2,51,"sweet potato","Ta·we","food",""
"sweet potato",2,3638,"Sweet Potato","ta··mil·ang","food","variant/VERIFIED/HIGH"
"onion",2,53,"onion","Rasin","general",""
"onion",2,3442,"Onion","ro·sun git·chak","food","variant/VERIFIED/HIGH"
"cabbage",3,54,"cabbage","Kobi","general",""
"cabbage",3,3133,"Cabbage","ba·da ko·pi","food","variant/VERIFIED/HIGH"
"cabbage",3,3134,"Cabbage","bi·jak ko·pi","food","variant/VERIFIED/HIGH"
"cauliflower",2,55,"cauliflower","Pul kobi","general",""
"cauliflower",2,3140,"Cauliflower","pul·ko·pi","uncategorized","variant/VERIFIED/HIGH"
"carrot",2,56,"carrot","Kajol","general",""
"carrot",2,3135,"Carrot","ga·jur","uncategorized","variant/VERIFIED/HIGH"
"love",3,60,"love","Ka·saa","emotions",""
"love",3,3393,"Love","ka··sa·a","uncategorized","variant/VERIFIED/HIGH"
"love",3,3394,"Love","mik·cha·a","uncategorized","variant/VERIFIED/HIGH"
"happiness",2,61,"happiness","Kusi","general",""
"happiness",2,3317,"Happiness","ku·si","uncategorized","variant/VERIFIED/HIGH"
"hope",4,66,"hope","Ka·donga","emotions",""
"hope",4,3331,"Hope","a·sa","uncategorized","variant/VERIFIED/HIGH"
"hope",4,3332,"Hope","ka··dong·a","uncategorized","variant/VERIFIED/HIGH"
"hope",4,3333,"Hope","mik·sok·a","uncategorized","variant/VERIFIED/HIGH"
"peace",2,67,"peace","Tom·tomani","emotions",""
"peace",2,3464,"Peace","Tom·toma","uncategorized","VERIFIED/HIGH v:Tom·tomani"
"pride",2,71,"pride","Gaora","general",""
"pride",2,3500,"Pride","ra·song","uncategorized","variant/VERIFIED/HIGH"
"worry",2,73,"worry","Gisik ding·a","general",""
"worry",2,3736,"Worry","sim·bra·a","uncategorized","variant/VERIFIED/HIGH"
"mercy",2,75,"mercy","Ka·sachakani","general",""
"mercy",2,3399,"Mercy","Kema","church","VERIFIED/HIGH v:Ka·sachakani"
"dog",2,80,"dog","Achak","animals",""
"dog",2,3213,"Dog","a·chak","animals","variant/VERIFIED/HIGH"
"cat",2,81,"cat","Menggo","animals",""
"cat",2,3136,"Cat","meng·gong","animals","variant/VERIFIED/HIGH"
"cow",2,82,"cow","Matchu","animals",""
"cow",2,3180,"Cow","ma··su","animals","variant/VERIFIED/HIGH"
"elephant",4,83,"elephant","Monga","animals",""
"elephant",4,3235,"Elephant","Mong","animals","VERIFIED/HIGH v:ha-ti / mong-ma"
"elephant",4,3236,"Elephant","ha·ti","animals","variant/VERIFIED/HIGH"
"elephant",4,3237,"Elephant","mong·ma","animals","variant/VERIFIED/HIGH"
"tiger",2,84,"tiger","Matcha","animals",""
"tiger",2,3676,"Tiger","mat·cha","animals","variant/VERIFIED/HIGH"
"deer",2,85,"deer","Matchok","general",""
"deer",2,3201,"Deer","mat·chok","animals","variant/VERIFIED/HIGH"
"goat",2,87,"goat","Do·bok","animals",""
"goat",2,3295,"Goat","do·omok","animals","variant/VERIFIED/HIGH"
"horse",2,88,"horse","Gure","animals",""
"horse",2,3336,"Horse","go·ra","animals","variant/VERIFIED/HIGH"
"monkey",6,89,"monkey","Makre","animals",""
"monkey",6,3404,"Monkey","ha·mak","animals","variant/VERIFIED/HIGH"
"monkey",6,3405,"Monkey","mak·kre","animals","variant/VERIFIED/HIGH"
"monkey",6,3406,"Monkey","rang·gol","animals","variant/VERIFIED/HIGH"
"monkey",6,6721,"monkey","ha·mak rang·gol","animals","UNVERIFIED/HIGH v:ha-mak / mak-kre / rang-gol"
"monkey",6,6821,"monkey","a·mak","animals","VERIFIED/HIGH/doc7"
"snake",2,90,"snake","Chipu","animals",""
"snake",2,3594,"Snake","chip·pu","animals","variant/VERIFIED/HIGH"
"rat",2,91,"rat","Mese","general",""
"rat",2,3522,"Rat","me·se","animals","variant/VERIFIED/HIGH"
"buffalo",2,92,"buffalo","Matma","general",""
"buffalo",2,3125,"Buffalo","mo·si","animals","variant/VERIFIED/HIGH"
"bear",4,93,"bear","Matmak","general",""
"bear",4,3090,"Bear","ba··a","animals","variant/VERIFIED/HIGH"
"bear",4,3091,"Bear","mak·bil","animals","variant/VERIFIED/HIGH"
"bear",4,3092,"Bear","nang·a","animals","variant/VERIFIED/HIGH"
"rabbit",3,94,"rabbit","Sapau","general",""
"rabbit",3,3516,"Rabbit","kor·gus","animals","variant/VERIFIED/HIGH"
"rabbit",3,3517,"Rabbit","pui·ta","animals","variant/VERIFIED/HIGH"
"crow",4,95,"crow","Do·ka","general",""
"crow",4,3184,"Crow","do·oka","animals","variant/VERIFIED/HIGH"
"crow",4,3185,"Crow","ga·ak·a","animals","variant/VERIFIED/HIGH"
"crow",4,3186,"Crow","gi·sik·a","animals","variant/VERIFIED/HIGH"
"hen",2,96,"hen","Do·bit","general",""
"hen",2,3327,"Hen","do·obi·ma","animals","variant/VERIFIED/HIGH"
"rooster",2,97,"rooster","Do·bi","general",""
"rooster",2,3541,"Rooster","do·obi·pa","uncategorized","variant/VERIFIED/HIGH"
"duck",4,98,"duck","Do·gep","animals",""
"duck",4,3222,"Duck","do·ogep","animals","variant/VERIFIED/HIGH"
"duck",4,3223,"Duck","do·oja·rak","animals","variant/VERIFIED/HIGH"
"duck",4,3224,"Duck","ga·gak","animals","variant/VERIFIED/HIGH"
"owl",3,99,"owl","Do·po","general",""
"owl",3,3457,"Owl","do·opo","uncategorized","variant/VERIFIED/HIGH"
"owl",3,3458,"Owl","pe·cha","uncategorized","variant/VERIFIED/HIGH"
"eagle",2,100,"eagle","Do·reng","general",""
"eagle",2,3225,"Eagle","ku·ru·ak","animals","variant/VERIFIED/HIGH"
"pigeon",4,102,"pigeon","Do·bak","general",""
"pigeon",4,3474,"Pigeon","do·ogu·gu","uncategorized","variant/VERIFIED/HIGH"
"pigeon",4,3475,"Pigeon","do·oku·ru","uncategorized","variant/VERIFIED/HIGH"
"pigeon",4,3476,"Pigeon","ho·ri·gol","uncategorized","variant/VERIFIED/HIGH"
"peacock",2,103,"peacock","Do·de","general",""
"peacock",2,3465,"Peacock","do·odi","uncategorized","variant/VERIFIED/HIGH"
"eat",2,105,"eat","Cha·a","food",""
"eat",2,3231,"Eat","cha··a","food","variant/VERIFIED/HIGH"
"drink",2,106,"drink","Ringa","food",""
"drink",2,3218,"Drink","ring·a","food","variant/VERIFIED/HIGH"
"sleep",3,107,"sleep","Tusia","health",""
"sleep",3,3579,"Sleep","chu·a","uncategorized","variant/VERIFIED/HIGH"
"sleep",3,3580,"Sleep","tu·si·a","uncategorized","variant/VERIFIED/HIGH"
"walk",2,108,"walk","Re·a","travel",""
"walk",2,3703,"Walk","re··am·a","uncategorized","variant/VERIFIED/HIGH"
"listen",4,111,"listen","Knachik·bo","general",""
"listen",4,3385,"Listen","Knachika","uncategorized","VERIFIED/HIGH v:kin-a-a / kin-a-tim-a"
"listen",4,3386,"Listen","kin·a·a","uncategorized","variant/VERIFIED/HIGH"
"listen",4,3387,"Listen","kin·a·tim·a","uncategorized","variant/VERIFIED/HIGH"
"give",2,113,"give","On·a","general",""
"give",2,3290,"Give","ron··a","uncategorized","variant/VERIFIED/HIGH"
"take",4,114,"take","Ra·a","general",""
"take",4,3644,"Take","ra··a","uncategorized","variant/VERIFIED/HIGH"
"take",4,3645,"Take","ra··ang·a","uncategorized","variant/VERIFIED/HIGH"
"take",4,3646,"Take","rim·a","uncategorized","variant/VERIFIED/HIGH"
"work",3,115,"work","Dak·a","work",""
"work",3,3734,"Work","ga·a","business","variant/VERIFIED/HIGH"
"work",3,3735,"Work","ka··a","business","variant/VERIFIED/HIGH"
"play",2,116,"play","Kal·a","general",""
"play",2,3479,"Play","kal··a","uncategorized","variant/VERIFIED/HIGH"
"sit",3,117,"sit","Asong·a","general",""
"sit",3,3574,"Sit","a·song·a","uncategorized","variant/VERIFIED/HIGH"
"sit",3,3575,"Sit","at·chong·a","uncategorized","variant/VERIFIED/HIGH"
"stand",2,118,"stand","Chadenga","general",""
"stand",2,3029,"stand","Chakata","verbs",""
"laugh",2,119,"laugh","Ka·ding·a","emotions",""
"laugh",2,3020,"laugh","Ka·dinga","verbs",""
"buy",2,121,"buy","Brea","work",""
"buy",2,3128,"Buy","bre·a","business","variant/VERIFIED/HIGH"
"sell",2,122,"sell","Pala","work",""
"sell",2,3550,"Sell","pal·a","business","variant/VERIFIED/HIGH"
"come",4,123,"come","Re·ba·a","travel",""
"come",4,3171,"Come","i··a","uncategorized","variant/VERIFIED/HIGH"
"come",4,3172,"Come","re··a","uncategorized","variant/VERIFIED/HIGH"
"come",4,3173,"Come","re··ba·a","uncategorized","variant/VERIFIED/HIGH"
"go",4,124,"go","Re·ang·a","travel",""
"go",4,3292,"Go","i··a","uncategorized","variant/VERIFIED/HIGH"
"go",4,3293,"Go","i··ang·a","uncategorized","variant/VERIFIED/HIGH"
"go",4,3294,"Go","re··a","uncategorized","variant/VERIFIED/HIGH"
"father",4,125,"father","Pa / Apa","family",""
"father",4,3253,"Father","a·pa","family","variant/VERIFIED/HIGH"
"father",4,3254,"Father","ba·ba","family","variant/VERIFIED/HIGH"
"father",4,3255,"Father","pa·a","family","variant/VERIFIED/HIGH"
"mother",4,126,"mother","Ma / Ama","family",""
"mother",4,3414,"Mother","a·ma","family","variant/VERIFIED/HIGH"
"mother",4,3415,"Mother","ma··gip·a","family","variant/VERIFIED/HIGH"
"mother",4,3416,"Mother","na··gi·pa","family","variant/VERIFIED/HIGH"
"son",3,127,"son","Depante","family",""
"son",3,3603,"Son","De·bi·pa","family","VERIFIED/HIGH v:Depante / de-pan-te"
"son",3,3604,"Son","de·pan·te","family","variant/VERIFIED/HIGH"
"daughter",2,128,"daughter","Demechik","family",""
"daughter",2,3195,"Daughter","De·me·chik","family","VERIFIED/HIGH v:Demechik"
"grandfather",3,129,"grandfather","Abi·tang","general",""
"grandfather",3,3303,"Grandfather","Aitchu","family","VERIFIED/HIGH v:at-chu"
"grandfather",3,3304,"Grandfather","at·chu","family","variant/VERIFIED/HIGH"
"grandmother",2,130,"grandmother","Ambichang","general",""
"grandmother",2,3305,"Grandmother","am·bi","family","variant/VERIFIED/HIGH"
"friend",4,136,"friend","Ripeng","general",""
"friend",4,3275,"Friend","Ripsak / Ripeng","uncategorized","VERIFIED/HIGH v:Ripeng / ba-ju / bi-sa"
"friend",4,3276,"Friend","ba·ju","uncategorized","variant/VERIFIED/HIGH"
"friend",4,3277,"Friend","bi·sa","uncategorized","variant/VERIFIED/HIGH"
"eye",2,138,"eye","Mikron","body",""
"eye",2,3247,"Eye","mik·on","health","variant/VERIFIED/HIGH"
"ear",2,139,"ear","Nachil","body",""
"ear",2,3226,"Ear","na·chil","health","variant/VERIFIED/HIGH"
"nose",2,140,"nose","Gingting","body",""
"nose",2,3434,"Nose","ging","health","variant/VERIFIED/HIGH"
"mouth",2,141,"mouth","Ku·sik","body",""
"mouth",2,3021,"mouth","Kusik","health",""
"leg",5,143,"leg","Ja·a","body",""
"leg",5,3374,"Leg","ja··chok","uncategorized","variant/VERIFIED/HIGH"
"leg",5,3375,"Leg","ja··git·teng","uncategorized","variant/VERIFIED/HIGH"
"leg",5,3376,"Leg","ja··teng","uncategorized","variant/VERIFIED/HIGH"
"leg",5,6719,"leg","ja··","uncategorized","UNVERIFIED/HIGH v:ja·-chok / ja·-git-teng / ja·-teng"
"stomach",3,145,"stomach","Ok","body",""
"stomach",3,3624,"Stomach","a·tom","uncategorized","variant/VERIFIED/HIGH"
"stomach",3,3625,"Stomach","bik·ma","uncategorized","variant/VERIFIED/HIGH"
"skin",3,148,"skin","Bigil","body",""
"skin",3,3576,"Skin","bi·gil","health","variant/VERIFIED/HIGH"
"skin",3,3577,"Skin","sol··a","health","variant/VERIFIED/HIGH"
"heart",3,149,"heart","Ka·tong","body",""
"heart",3,3324,"Heart","ka··rong·ti","uncategorized","variant/VERIFIED/HIGH"
"heart",3,3325,"Heart","ka··tong","uncategorized","variant/VERIFIED/HIGH"
"red",2,150,"red","Gitchak","general",""
"red",2,3527,"Red","git·chak","uncategorized","variant/VERIFIED/HIGH"
"white",3,151,"white","Gipok","general",""
"white",3,3718,"White","bok·a","uncategorized","variant/VERIFIED/HIGH"
"white",3,3719,"White","gip·bok","uncategorized","variant/VERIFIED/HIGH"
"black",2,152,"black","Gisim","general",""
"black",2,3103,"Black","gi·sim","uncategorized","variant/VERIFIED/HIGH"
"green",3,153,"green","Tangsek","general",""
"green",3,3309,"Green","git·ting","uncategorized","variant/VERIFIED/HIGH"
"green",3,3310,"Green","tang·sik·a","uncategorized","variant/VERIFIED/HIGH"
"blue",2,154,"blue","Tang·sim","general",""
"blue",2,3108,"Blue","niil","uncategorized","variant/VERIFIED/HIGH"
"yellow",2,155,"yellow","Rimit","general",""
"yellow",2,3743,"Yellow","rim·it","uncategorized","variant/VERIFIED/HIGH"
"last",3,189,"last","Baksangni","general",""
"last",3,3361,"Last","bai·a","uncategorized","variant/VERIFIED/HIGH"
"last",3,3362,"Last","ses","uncategorized","variant/VERIFIED/HIGH"
"half",4,190,"half","Jatchi","general",""
"half",4,3313,"Half","a·dra","numbers","variant/VERIFIED/HIGH"
"half",4,3314,"Half","bon··jang·chi·a","numbers","variant/VERIFIED/HIGH"
"half",4,3315,"Half","pak·sa","numbers","variant/VERIFIED/HIGH"
"i am fine",2,196,"i am fine","Anga namenga.","general",""
"i am fine",2,3339,"I am fine","Ang·a namengava.","phrases","variant/VERIFIED/HIGH"
"what is your name?",3,198,"what is your name?","Nang bimung maia?","general",""
"what is your name?",3,3711,"What is your name?","Na·a ni bimungara maia?","phrases","VERIFIED/HIGH v:Nang·ni bimungara maia?"
"what is your name?",3,3712,"What is your name?","Nang·ni bimungara maia?","phrases","variant/VERIFIED/HIGH"
"come here",2,207,"come here","Ianona re·babo.","travel",""
"come here",2,3174,"Come here","Ianona re·babo!","uncategorized","variant/VERIFIED/HIGH"
"sweet",2,210,"sweet","Chi·a","food",""
"sweet",2,3637,"Sweet","chi··a","uncategorized","variant/VERIFIED/HIGH"
"sour",2,211,"sour","Mesenga","general",""
"sour",2,3608,"Sour","me·seng·a","uncategorized","variant/VERIFIED/HIGH"
"bitter",2,212,"bitter","Ka·a","general",""
"bitter",2,3102,"Bitter","ka··a","uncategorized","variant/VERIFIED/HIGH"
"spicy",2,215,"spicy","Jal·ik saa","general",""
"spicy",2,3611,"Spicy","jro·a","uncategorized","variant/VERIFIED/HIGH"
"open",4,240,"open","Oa","general",""
"open",4,3443,"Open","bal·ang·ga","uncategorized","variant/VERIFIED/HIGH"
"open",4,3444,"Open","king·kil·ak·a","uncategorized","variant/VERIFIED/HIGH"
"open",4,3445,"Open","king·tal·a","uncategorized","variant/VERIFIED/HIGH"
"close",5,241,"close","Chip·a","general",""
"close",5,3159,"Close","grim","uncategorized","variant/VERIFIED/HIGH"
"close",5,3160,"Close","ket·a","uncategorized","variant/VERIFIED/HIGH"
"close",5,3161,"Close","mit·chu·a","uncategorized","variant/VERIFIED/HIGH"
"close",5,6716,"close","grip·a","uncategorized","UNVERIFIED/HIGH v:grim / ket-a / mit-chu-a"
"push",6,242,"push","Jitpaka","general",""
"push",6,3508,"Push","Jit·pak·a","uncategorized","VERIFIED/HIGH v:Jitpaka / sik-do-a / sik-pak-a"
"push",6,3509,"Push","sik·do·a","uncategorized","variant/VERIFIED/HIGH"
"push",6,3510,"Push","sik·pak·a","uncategorized","variant/VERIFIED/HIGH"
"push",6,6722,"push","pa··jret·a","uncategorized","UNVERIFIED/HIGH v:sik-do-a / sik-do-do-a / sik-pak-a"
"push",6,6723,"push","sik·do·do·a","uncategorized","variant/UNVERIFIED/HIGH"
"throw",5,246,"throw","Goata / Gal·a","general",""
"throw",5,3668,"Throw","Gal·a / Goata","uncategorized","VERIFIED/HIGH v:Goata / Gal-a / go-a"
"throw",5,3669,"Throw","Goata","uncategorized","variant/VERIFIED/HIGH"
"throw",5,3670,"Throw","Gal·a","uncategorized","variant/VERIFIED/HIGH"
"throw",5,3671,"Throw","go·a","uncategorized","variant/VERIFIED/HIGH"
"catch",4,247,"catch","Rim·a","general",""
"catch",4,3137,"Catch","ra··chak·a","uncategorized","variant/VERIFIED/HIGH"
"catch",4,3138,"Catch","rim··a","uncategorized","variant/VERIFIED/HIGH"
"catch",4,3139,"Catch","rim··chak·a","uncategorized","variant/VERIFIED/HIGH"
"wash",2,248,"wash","Su·srong·a","general",""
"wash",2,3037,"wash","Su·gala","verbs",""
"clean",5,249,"clean","Rongtala","general",""
"clean",5,3151,"Clean","Rongtal·ata","uncategorized","VERIFIED/HIGH v:chi-rong-a / po-ri-skar / tal-a"
"clean",5,3152,"Clean","chi·rong·a","uncategorized","variant/VERIFIED/HIGH"
"clean",5,3153,"Clean","po·ri·skar","uncategorized","variant/VERIFIED/HIGH"
"clean",5,3154,"Clean","tal·a","uncategorized","variant/VERIFIED/HIGH"
"moon",2,251,"moon","Jajong","nature",""
"moon",2,3408,"Moon","ja·jong","uncategorized","variant/VERIFIED/HIGH"
"star",2,252,"star","Aski","nature",""
"star",2,3617,"Star","a·sek·ki","uncategorized","variant/VERIFIED/HIGH"
"sky",2,253,"sky","Salgi","nature",""
"sky",2,3578,"Sky","sil·ga","uncategorized","variant/VERIFIED/HIGH"
"rain",4,255,"rain","Mikka","nature",""
"rain",4,3518,"Rain","ba·du·ri·a","uncategorized","variant/VERIFIED/HIGH"
"rain",4,3519,"Rain","mik·ka","uncategorized","variant/VERIFIED/HIGH"
"rain",4,3520,"Rain","wa·a","uncategorized","variant/VERIFIED/HIGH"
"wind",3,256,"wind","Balwa","nature",""
"wind",3,3727,"Wind","bal·wa","uncategorized","variant/VERIFIED/HIGH"
"wind",3,3728,"Wind","wen·a wen·wen·a","uncategorized","variant/VERIFIED/HIGH"
"thunder",4,257,"thunder","Goera","general",""
"thunder",4,3673,"Thunder","gul··gul·a","uncategorized","variant/VERIFIED/HIGH"
"thunder",4,3674,"Thunder","hil··hil·a","uncategorized","variant/VERIFIED/HIGH"
"thunder",4,3675,"Thunder","kim·pret·a","uncategorized","variant/VERIFIED/HIGH"
"lightning",2,258,"lightning","Mikka·kimma","general",""
"lightning",2,3384,"Lightning","el·ep·a","uncategorized","variant/VERIFIED/HIGH"
"fire",3,259,"fire","Wa·al","general",""
"fire",3,3263,"Fire","a·gal","uncategorized","variant/VERIFIED/HIGH"
"fire",3,3264,"Fire","wal··","uncategorized","variant/VERIFIED/HIGH"
"stone",2,262,"stone","Ro·ong","general",""
"stone",2,3626,"Stone","rong··te","uncategorized","variant/VERIFIED/HIGH"
"sand",2,263,"sand","An·cheng","general",""
"sand",2,3549,"Sand","han··cheng","uncategorized","variant/VERIFIED/HIGH"
"river",4,264,"river","Chibima","nature",""
"river",4,3532,"River","chi·bi·ma","travel","variant/VERIFIED/HIGH"
"river",4,3533,"River","gang","travel","variant/VERIFIED/HIGH"
"river",4,3534,"River","no·di","travel","variant/VERIFIED/HIGH"
"mountain",3,265,"mountain","A·bri","nature",""
"mountain",3,3417,"Mountain","ha··bri","travel","variant/VERIFIED/HIGH"
"mountain",3,3418,"Mountain","ha··chik","travel","variant/VERIFIED/HIGH"
"forest",2,266,"forest","Buring","nature",""
"forest",2,3273,"Forest","bring","travel","variant/VERIFIED/HIGH"
"tree",5,267,"tree","Bol","nature",""
"tree",5,3686,"Tree","bi·pang","uncategorized","variant/VERIFIED/HIGH"
"tree",5,3687,"Tree","bol·bi·pang","uncategorized","variant/VERIFIED/HIGH"
"tree",5,3688,"Tree","bol·pang","uncategorized","variant/VERIFIED/HIGH"
"tree",5,6990,"tree","a'bil","animals","VERIFIED/HIGH/doc7"
"leaf",3,269,"leaf","Bijak","nature",""
"leaf",3,3369,"Leaf","bi·jak","uncategorized","variant/VERIFIED/HIGH"
"leaf",3,3370,"Leaf","bol·bi·jak","uncategorized","variant/VERIFIED/HIGH"
"it is raining",2,270,"it is raining","Mikka ring·a","general",""
"it is raining",2,7057,"It is raining","Mikka wabenga","phrases","VERIFIED/HIGH/200sentences"
"it is cold",2,272,"it is cold","Sin·a","health",""
"it is cold",2,7056,"It is cold","Sikkimba","phrases","VERIFIED/HIGH/200sentences"
"flood",3,274,"flood","Mikka·brimba","general",""
"flood",3,3267,"Flood","du·a","uncategorized","variant/VERIFIED/HIGH"
"flood",3,3268,"Flood","rip·a","uncategorized","variant/VERIFIED/HIGH"
"earthquake",3,276,"earthquake","A·a·moa","general",""
"earthquake",3,3015,"earthquake","Banggria","uncategorized",""
"earthquake",3,6783,"earthquake","a'a banggri·a","uncategorized","VERIFIED/HIGH/doc7"
"door",2,282,"door","Do·ga","home",""
"door",2,3214,"Door","do·oga","uncategorized","variant/VERIFIED/HIGH"
"window",2,283,"window","Kelki","home",""
"window",2,3729,"Window","ja·na·la","uncategorized","variant/VERIFIED/HIGH"
"chair",2,285,"chair","Chokki","home",""
"chair",2,3141,"Chair","chi·er","uncategorized","variant/VERIFIED/HIGH"
"table",2,286,"table","Mez","home",""
"table",2,3642,"Table","te·bil","uncategorized","variant/VERIFIED/HIGH"
"plate",2,287,"plate","Tala","home",""
"plate",2,3478,"Plate","rang·tal","uncategorized","variant/VERIFIED/HIGH"
"cup",3,288,"cup","Cup","home",""
"cup",3,3188,"Cup","Piala","uncategorized","VERIFIED/HIGH v:Cup / kap"
"cup",3,3189,"Cup","kap","uncategorized","variant/VERIFIED/HIGH"
"spoon",2,289,"spoon","Chamus","general",""
"spoon",2,3613,"Spoon","cha·mos","uncategorized","variant/VERIFIED/HIGH"
"knife",3,290,"knife","Kettal","home",""
"knife",3,3354,"Knife","chak·ku","uncategorized","variant/VERIFIED/HIGH"
"knife",3,3355,"Knife","chu·ri","uncategorized","variant/VERIFIED/HIGH"
"pot",4,291,"pot","Me.dik","general",""
"pot",4,3488,"Pot","Dik·ke","uncategorized","VERIFIED/HIGH v:Me.dik / dik-te / gim-bi"
"pot",4,3489,"Pot","dik·te","uncategorized","variant/VERIFIED/HIGH"
"pot",4,3490,"Pot","gim·bi","uncategorized","variant/VERIFIED/HIGH"
"broom",2,292,"broom","Sal·re·at","general",""
"broom",2,3124,"Broom","sal··a","uncategorized","variant/VERIFIED/HIGH"
"clothes",3,293,"clothes","Ba·ra","general",""
"clothes",3,3164,"Clothes","ba··ra","uncategorized","variant/VERIFIED/HIGH"
"clothes",3,3165,"Clothes","gan·ding·chin·ding","uncategorized","variant/VERIFIED/HIGH"
"soap",2,294,"soap","Sabon","home",""
"soap",2,3596,"Soap","sa·ban","uncategorized","variant/VERIFIED/HIGH"
"mirror",2,295,"mirror","Janera","general",""
"mirror",2,3401,"Mirror","ai·na","uncategorized","variant/VERIFIED/HIGH"
"comb",3,296,"comb","Ken·chong","general",""
"comb",3,3169,"Comb","ken··a","uncategorized","variant/VERIFIED/HIGH"
"comb",3,3170,"Comb","sam·pil","uncategorized","variant/VERIFIED/HIGH"
"lamp",2,297,"lamp","Chakki","general",""
"lamp",2,3359,"Lamp","bat·i","uncategorized","variant/VERIFIED/HIGH"
"key",2,298,"key","Chabi","general",""
"key",2,3350,"Key","cha·bi","uncategorized","variant/VERIFIED/HIGH"
"bag",3,299,"bag","Thola","general",""
"bag",3,3085,"Bag","Jol·a","uncategorized","VERIFIED/HIGH v:Thola / bek"
"bag",3,3086,"Bag","bek","uncategorized","variant/VERIFIED/HIGH"
"book",2,300,"book","Ki·tap","education",""
"book",2,3112,"Book","boi","education","variant/VERIFIED/HIGH"
"axe",3,301,"axe","Rua (⚠ verb: to pour)","general",""
"axe",3,3082,"Axe","Rua (⚠ also means 'to pour' as verb)","uncategorized","VERIFIED/HIGH v:Rua (⚠ verb: to pour) / ru-a"
"axe",3,3083,"Axe","ru·a","uncategorized","variant/VERIFIED/HIGH"
"morning",2,304,"morning","Pring","greetings",""
"morning",2,3412,"Morning","wal·ni","uncategorized","variant/VERIFIED/HIGH"
"noon",3,305,"noon","Sal·jatchi","general",""
"noon",3,3430,"Noon","Saljatchi","uncategorized","VERIFIED/HIGH v:Sal-jatchi / sal-jat-chi"
"noon",3,3431,"Noon","sal·jat·chi","uncategorized","variant/VERIFIED/HIGH"
"evening",2,306,"evening","Attam","greetings",""
"evening",2,3245,"Evening","an··tam","uncategorized","variant/VERIFIED/HIGH"
"today",3,307,"today","Da·alo","time",""
"today",3,3682,"Today","Da.alo","uncategorized","VERIFIED/HIGH v:Da·al / Da·alo"
"today",3,3683,"Today","Da·al","uncategorized","variant/VERIFIED/HIGH"
"yesterday",3,308,"yesterday","Meja","time",""
"yesterday",3,3744,"Yesterday","Mejal","uncategorized","VERIFIED/HIGH v:Meja / me-ja-o"
