key,group_size,index,english,garo,category,notes
"spoiled",3,6166,"spoiled","re·wa·se·wa","uncategorized","UNVERIFIED/HIGH v:-brok- / sim-a"
"spoiled",3,6167,"spoiled","·brok·","uncategorized","variant/UNVERIFIED/HIGH"
"spoiled",3,6168,"spoiled","sim·a","uncategorized","variant/UNVERIFIED/HIGH"
"spotted",2,6170,"spotted","re·wa·a","uncategorized","UNVERIFIED/HIGH v:tok-a"
"spotted",2,6171,"spotted","tok·a","uncategorized","variant/UNVERIFIED/HIGH"
"spring",2,6173,"spring","chi·ga","uncategorized","UNVERIFIED/HIGH v:chi-mik"
"spring",2,6174,"spring","chi·mik","uncategorized","variant/UNVERIFIED/HIGH"
"sprout",3,6176,"sprout","cha·a","uncategorized","UNVERIFIED/HIGH v:chong·-a / kol-om"
"sprout",3,6177,"sprout","chong··a","uncategorized","variant/UNVERIFIED/HIGH"
"sprout",3,6178,"sprout","kol·om","uncategorized","variant/UNVERIFIED/HIGH"
"squash",4,6180,"squash","ak·ka·ru","uncategorized","UNVERIFIED/HIGH v:-min-ek- / go-min-da / lau"
"squash",4,6181,"squash","·min·ek·","uncategorized","variant/UNVERIFIED/HIGH"
"squash",4,6182,"squash","go·min·da","uncategorized","variant/UNVERIFIED/HIGH"
"squash",4,6183,"squash","lau","uncategorized","variant/UNVERIFIED/HIGH"
"squirm",3,6189,"squirm","deng·deng·a","uncategorized","UNVERIFIED/HIGH v:ga·-git-ik-a / git-ik-a"
"squirm",3,6190,"squirm","ga··git·ik·a","uncategorized","variant/UNVERIFIED/HIGH"
"squirm",3,6191,"squirm","git·ik·a","uncategorized","variant/UNVERIFIED/HIGH"
"stay",2,6203,"stay","dong·chak·a","travel","UNVERIFIED/HIGH v:dong-dang-a"
"stay",2,6204,"stay","dong·dang·a","travel","variant/UNVERIFIED/HIGH"
"steal",2,6206,"steal","chau··a","uncategorized","UNVERIFIED/HIGH v:chol-a"
"steal",2,6207,"steal","chol·a","uncategorized","variant/UNVERIFIED/HIGH"
"stem",3,6208,"stem","bi·bak","uncategorized","UNVERIFIED/HIGH v:bi-pan-tu / ga·-gong"
"stem",3,6209,"stem","bi·pan·tu","uncategorized","variant/UNVERIFIED/HIGH"
"stem",3,6210,"stem","ga··gong","uncategorized","variant/UNVERIFIED/HIGH"
"step",2,6211,"step","ga··a","uncategorized","UNVERIFIED/HIGH v:ga·-tim-ra"
"step",2,6212,"step","ga··tim·ra","uncategorized","variant/UNVERIFIED/HIGH"
"steps",2,6214,"steps","ja··ti","uncategorized","UNVERIFIED/HIGH v:teng·-"
"steps",2,6215,"steps","teng··","uncategorized","variant/UNVERIFIED/HIGH"
"stick",4,6216,"stick","bol·gan·tong","uncategorized","UNVERIFIED/HIGH v:bol-tong / gan-tong / gol·-"
"stick",4,6217,"stick","bol·tong","uncategorized","variant/UNVERIFIED/HIGH"
"stick",4,6218,"stick","gan·tong","uncategorized","variant/UNVERIFIED/HIGH"
"stick",4,6219,"stick","gol··","uncategorized","variant/UNVERIFIED/HIGH"
"sticky",2,6221,"sticky","ma··skap·a","uncategorized","UNVERIFIED/HIGH v:sit-tap-a"
"sticky",2,6222,"sticky","sit·tap·a","uncategorized","variant/UNVERIFIED/HIGH"
"sticky rice",2,6223,"sticky rice","mi·mil","food","UNVERIFIED/HIGH v:mi-mit-im"
"sticky rice",2,6224,"sticky rice","mi·mit·im","food","variant/UNVERIFIED/HIGH"
"stool",3,6234,"stool","ham··pok","uncategorized","UNVERIFIED/HIGH v:mo-ra / tul"
"stool",3,6235,"stool","mo·ra","uncategorized","variant/UNVERIFIED/HIGH"
"stool",3,6236,"stool","tul","uncategorized","variant/UNVERIFIED/HIGH"
"stork",2,6242,"stork","bok","uncategorized","UNVERIFIED/HIGH v:hai-gil-a"
"stork",2,6243,"stork","hai·gil·a","uncategorized","variant/UNVERIFIED/HIGH"
"straight",4,6244,"straight","dim·breng·a","uncategorized","UNVERIFIED/HIGH v:-tong·-tang- / tong·-tang / wa-rek-rek"
"straight",4,6245,"straight","·tong··tang·","uncategorized","variant/UNVERIFIED/HIGH"
"straight",4,6246,"straight","tong··tang","uncategorized","variant/UNVERIFIED/HIGH"
"straight",4,6247,"straight","wa·rek·rek","uncategorized","variant/UNVERIFIED/HIGH"
"straw",2,6249,"straw","bi·dang","uncategorized","UNVERIFIED/HIGH v:kel"
"straw",2,6250,"straw","kel","uncategorized","variant/UNVERIFIED/HIGH"
"stream",2,6252,"stream","chi·da·ri","travel","UNVERIFIED/HIGH v:chi-ring"
"stream",2,6253,"stream","chi·ring","travel","variant/UNVERIFIED/HIGH"
"stretched",2,6256,"stretched","ding·ding","uncategorized","UNVERIFIED/HIGH v:kring-a"
"stretched",2,6257,"stretched","kring·a","uncategorized","variant/UNVERIFIED/HIGH"
"string",2,6258,"string","do·ri","uncategorized","UNVERIFIED/HIGH v:kil-ding"
"string",2,6259,"string","kil·ding","uncategorized","variant/UNVERIFIED/HIGH"
"stubble",2,6265,"stubble","ga··git·tong","uncategorized","UNVERIFIED/HIGH v:na-ra"
"stubble",2,6266,"stubble","na·ra","uncategorized","variant/UNVERIFIED/HIGH"
"stumble",2,6268,"stumble","ja··bing·bang·a","uncategorized","UNVERIFIED/HIGH v:ja·-gu-a"
"stumble",2,6269,"stumble","ja··gu·a","uncategorized","variant/UNVERIFIED/HIGH"
"stutter",2,6272,"stutter","ku··man·a","uncategorized","UNVERIFIED/HIGH v:tu·-ta-ban-ta"
"stutter",2,6273,"stutter","tu··ta·ban·ta","uncategorized","variant/UNVERIFIED/HIGH"
"suck",2,6277,"suck","chop·a","uncategorized","UNVERIFIED/HIGH v:sal-srip-a"
"suck",2,6278,"suck","sal·srip·a","uncategorized","variant/UNVERIFIED/HIGH"
"suddenly",3,6280,"suddenly","at·tak·ka","uncategorized","UNVERIFIED/HIGH v:-git-ik- / git-ik-git-ak"
"suddenly",3,6281,"suddenly","·git·ik·","uncategorized","variant/UNVERIFIED/HIGH"
"suddenly",3,6282,"suddenly","git·ik·git·ak","uncategorized","variant/UNVERIFIED/HIGH"
"suffer",2,6284,"suffer","chak·a","uncategorized","UNVERIFIED/HIGH v:jom-a"
"suffer",2,6285,"suffer","jom·a","uncategorized","variant/UNVERIFIED/HIGH"
"sufficient",3,6286,"sufficient","chu··ong·a","uncategorized","UNVERIFIED/HIGH v:gip-a / hem-hem"
"sufficient",3,6287,"sufficient","gip·a","uncategorized","variant/UNVERIFIED/HIGH"
"sufficient",3,6288,"sufficient","hem·hem","uncategorized","variant/UNVERIFIED/HIGH"
"support",4,6294,"support","chak·a","uncategorized","UNVERIFIED/HIGH v:jil-a / kang·-a / sin·-chak-a"
"support",4,6295,"support","jil·a","uncategorized","variant/UNVERIFIED/HIGH"
"support",4,6296,"support","kang··a","uncategorized","variant/UNVERIFIED/HIGH"
"support",4,6297,"support","sin··chak·a","uncategorized","variant/UNVERIFIED/HIGH"
"suppose",3,6298,"suppose","chan·chi·a","uncategorized","UNVERIFIED/HIGH v:mik-sok-a / mo-ne-hoi"
"suppose",3,6299,"suppose","mik·sok·a","uncategorized","variant/UNVERIFIED/HIGH"
"suppose",3,6300,"suppose","mo·ne·hoi","uncategorized","variant/UNVERIFIED/HIGH"
"surface",2,6302,"surface","chi·ska·pong","uncategorized","UNVERIFIED/HIGH v:sak-a-pong"
"surface",2,6303,"surface","sak·a·pong","uncategorized","variant/UNVERIFIED/HIGH"
"surround",2,6305,"surround","dong·wil·wil·a","uncategorized","UNVERIFIED/HIGH v:wil-wil-a"
