index,english,garo,category,notes,tagged_verified_high
4389,"cup, bamboo","wa··sing","uncategorized","UNVERIFIED/HIGH",yes
4393,"curled","kon··a","uncategorized","UNVERIFIED/HIGH",yes
4394,"curly","kong··krot·a","uncategorized","UNVERIFIED/HIGH v:kong·-krot-kong·-krot",yes
4395,"curly","kong··krot·kong··krot","uncategorized","variant/UNVERIFIED/HIGH",yes
4399,"curved","kong··krot·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4400,"curved","ku··weng·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4402,"cut","den··a","uncategorized","UNVERIFIED/HIGH v:mat-a / rat-a",yes
4407,"cutting","ta··sko","uncategorized","variant/UNVERIFIED/HIGH",yes
4415,"damp","chim··chim·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4416,"damp","dim··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4418,"dance","han··seng·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4421,"dandruff","ki··ka·rok","uncategorized","UNVERIFIED/HIGH",yes
4426,"dark complexion","han··gi·sim","uncategorized","UNVERIFIED/HIGH",yes
4434,"dead","bi·ba bon··chot·a","health","UNVERIFIED/HIGH",yes
4437,"deceive","bo··a","uncategorized","UNVERIFIED/HIGH",yes
4440,"defecate","ke··em·a","uncategorized","UNVERIFIED/HIGH v:ki·-a",yes
4441,"defecate","ki··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4443,"defend","peng··chak·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4448,"deliver baby","han··o ra··a","uncategorized","UNVERIFIED/HIGH v:jak-o ra·-a",yes
4449,"deliver baby","jak·o ra··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4451,"demand","ham··chrak·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4455,"dense","gan··chat·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4457,"dented","be··rik·ken·a","uncategorized","UNVERIFIED/HIGH",yes
4460,"desire","ha··sik·a","uncategorized","UNVERIFIED/HIGH v:ham·-a / mik-bok-a",yes
4461,"desire","ham··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4463,"destroy","pe··wak·a","uncategorized","UNVERIFIED/HIGH",yes
4467,"dialogue","ra··chak·grik·e a·gan·a","uncategorized","UNVERIFIED/HIGH",yes
4468,"diaper","ki··tap","uncategorized","UNVERIFIED/HIGH",yes
4469,"diarrhea","bik·ma re··a","uncategorized","UNVERIFIED/HIGH v:ki·-brek-a",yes
4470,"diarrhea","ki··brek·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4479,"dig","cho··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4489,"direct","tong··tang","uncategorized","UNVERIFIED/HIGH v:-tong·-tang-",yes
4490,"direct","·tong··tang·","uncategorized","variant/UNVERIFIED/HIGH",yes
4501,"discuss","ku··chim·mong·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4502,"discuss","ku··mong·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4510,"dislike","ni·na man··ja","uncategorized","variant/UNVERIFIED/HIGH",yes
4519,"distant","chel··a","uncategorized","UNVERIFIED/HIGH",yes
